tool_condition,Y1_OutputCurrent,X1_CommandPosition,X1_ActualPosition,clamp_pressure,Y1_CommandPosition,Y1_ActualPosition,X1_OutputCurrent,X1_DCBusVoltage,X1_OutputVoltage,Z1_CommandPosition,Z1_ActualPosition,M1_CURRENT_FEEDRATE,X1_OutputPower,Y1_OutputVoltage,S1_OutputCurrent,Y1_DCBusVoltage,feedrate,Y1_OutputPower,S1_CurrentFeedback,S1_ActualVelocity
0,328.0,198.0,198.0,4.0,158.0,158.0,329.0,0.0207,2.77,119.0,119.0,50.0,-1.42e-06,1.84,329.0,0.0167,6,6.43e-07,0.524,0.001
0,325.0,198.0,198.0,4.0,157.0,158.0,328.0,0.186,23.3,118.0,119.0,50.0,0.00448,37.8,328.0,0.281,6,0.0126,-0.288,0.0
0,327.0,196.0,196.0,4.0,154.0,154.0,328.0,0.14,30.6,115.0,115.0,50.0,0.00533,49.4,328.0,0.139,6,0.00943,0.524,0.0
0,325.0,194.0,194.0,4.0,151.0,151.0,327.0,0.13,30.3,112.0,112.0,50.0,0.00489,47.6,328.0,0.156,6,0.0105,-0.18,-0.001
0,326.0,192.0,193.0,4.0,148.0,148.0,328.0,0.114,30.5,108.0,109.0,50.0,0.00425,47.1,328.0,0.202,6,0.0135,0.226,0.0
0,326.0,191.0,191.0,4.0,144.0,145.0,328.0,0.128,30.9,105.0,105.0,50.0,0.00474,49.6,328.0,0.166,6,0.0113,0.821,0.0
0,326.0,189.0,189.0,4.0,141.0,141.0,328.0,0.0955,29.3,102.0,102.0,50.0,0.00345,50.0,328.0,0.179,6,0.0124,0.523,0.00075
0,325.0,187.0,187.0,4.0,138.0,138.0,327.0,0.117,29.1,98.3,98.6,50.0,0.00441,50.8,328.0,0.185,6,0.0128,-0.288,0.0
0,327.0,185.0,185.0,4.0,135.0,135.0,328.0,0.113,29.4,94.8,95.1,50.0,0.00417,49.7,328.0,0.154,6,0.0102,-0.0997,-0.00075
0,325.0,183.0,184.0,4.0,132.0,132.0,328.0,0.138,29.8,91.6,91.8,50.0,0.00501,48.1,328.0,0.119,6,0.00784,0.118,-0.001
0,325.0,182.0,182.0,4.0,128.0,129.0,327.0,0.114,31.3,88.2,88.5,50.0,0.0043,48.6,328.0,0.186,6,0.0126,-0.288,0.0
0,326.0,180.0,180.0,4.0,125.0,125.0,328.0,0.13,31.6,84.7,85.0,50.0,0.00485,50.6,328.0,0.181,6,0.0124,0.118,0.001
0,325.0,178.0,178.0,4.0,122.0,122.0,327.0,0.122,30.4,81.5,81.7,50.0,0.00457,50.4,328.0,0.174,6,0.012,2.34,-0.00175
0,325.0,176.0,176.0,4.0,119.0,119.0,327.0,0.133,28.5,78.1,78.4,50.0,0.005,49.4,328.0,0.177,6,0.012,-0.288,0.004
0,327.0,174.0,175.0,4.0,115.0,116.0,328.0,0.131,30.3,74.6,74.9,50.0,0.00478,51.2,328.0,0.165,6,0.011,-0.18,0.00075
0,325.0,173.0,173.0,4.0,112.0,112.0,327.0,0.127,29.9,71.3,71.6,50.0,0.00475,49.3,328.0,0.155,6,0.0104,0.821,0.0
0,325.0,171.0,171.0,4.0,109.0,109.0,327.0,0.127,30.2,68.0,68.3,50.0,0.00468,43.2,328.0,0.172,6,0.0114,0.415,-0.001
0,326.0,169.0,169.0,4.0,106.0,106.0,328.0,0.125,31.0,64.5,64.7,50.0,0.00472,47.3,328.0,0.196,6,0.0134,-0.694,0.0
0,325.0,167.0,167.0,4.0,103.0,103.0,327.0,0.131,31.8,61.2,61.5,50.0,0.00491,50.2,328.0,0.185,6,0.0126,0.00893,-0.00325
0,326.0,166.0,166.0,4.0,99.3,99.6,328.0,0.11,29.8,57.9,58.1,50.0,0.0041,46.6,328.0,0.161,6,0.0109,0.00893,0.00025
0,326.0,164.0,164.0,4.0,95.9,96.2,328.0,0.112,29.8,54.4,54.6,50.0,0.00416,49.4,328.0,0.203,6,0.0138,-0.288,0.0
0,325.0,162.0,162.0,4.0,92.8,93.1,328.0,0.0986,28.4,51.1,51.4,50.0,0.00361,48.6,328.0,0.176,6,0.0117,0.118,-0.00125
